instance_id,repo,prior_instance_id,target_instance_id,prior_gold_files,target_gold_files,prior_gold_file_count,target_gold_file_count,prior_gold_target_gold_file_intersection,prior_gold_target_gold_file_intersection_count,prior_gold_target_gold_jaccard,prior_gold_target_gold_same_file_bool,prior_gold_target_gold_same_dir_bool,prior_trajectory_inspected_files,prior_trajectory_edited_files,prior_trajectory_test_files,prior_trajectory_source_files,prior_inspected_target_gold_intersection,prior_inspected_target_gold_intersection_count,prior_inspected_target_gold_jaccard,prior_inspected_target_gold_same_file_bool,prior_inspected_target_gold_same_dir_bool,prior_edited_target_gold_intersection,prior_edited_target_gold_intersection_count,prior_edited_target_gold_jaccard,prior_edited_target_gold_same_file_bool,prior_edited_target_gold_same_dir_bool,raw_resolved,adp_resolved,memory_resolved,no_memory_resolved,overlap_bucket,localization_bucket
scikit-learn__scikit-learn-25635,scikit-learn/scikit-learn,scikit-learn__scikit-learn-25638,scikit-learn__scikit-learn-25635,,,,,,,,,,sklearn/utils/_array_api.py;sklearn/utils/multiclass.py;sklearn/utils/tests/test_multiclass.py,run_test.py;sklearn/utils/multiclass.py;test_direct.py;test_direct_v2.py;test_fix.py;test_fix_minimal.py;test_nullable_dtypes.py,run_test.py;sklearn/utils/tests/test_multiclass.py;test_direct.py;test_direct_v2.py;test_fix.py;test_fix_minimal.py;test_nullable_dtypes.py,sklearn/utils/_array_api.py;sklearn/utils/multiclass.py,,,,,,,,,,,,,,,unknown_gold_overlap,unknown
scikit-learn__scikit-learn-25637,scikit-learn/scikit-learn,scikit-learn__scikit-learn-25638,scikit-learn__scikit-learn-25637,,,,,,,,,,sklearn/utils/_array_api.py;sklearn/utils/multiclass.py;sklearn/utils/tests/test_multiclass.py,run_test.py;sklearn/utils/multiclass.py;test_direct.py;test_direct_v2.py;test_fix.py;test_fix_minimal.py;test_nullable_dtypes.py,run_test.py;sklearn/utils/tests/test_multiclass.py;test_direct.py;test_direct_v2.py;test_fix.py;test_fix_minimal.py;test_nullable_dtypes.py,sklearn/utils/_array_api.py;sklearn/utils/multiclass.py,,,,,,,,,,,,,,,unknown_gold_overlap,unknown
scikit-learn__scikit-learn-25763,scikit-learn/scikit-learn,scikit-learn__scikit-learn-25500,scikit-learn__scikit-learn-25763,,,,,,,,,,sklearn;sklearn/calibration.py;sklearn/tests/test_calibration.py;sklearn/utils,sklearn/calibration.py;test_fix.py,sklearn/tests/test_calibration.py;test_fix.py,sklearn;sklearn/calibration.py;sklearn/utils,,,,,,,,,,,,,,,unknown_gold_overlap,unknown
scikit-learn__scikit-learn-5970,scikit-learn/scikit-learn,scikit-learn__scikit-learn-13241,scikit-learn__scikit-learn-5970,,,,,,,,,,sklearn;sklearn/decomposition/kernel_pca.py;sklearn/decomposition/pca.py;sklearn/decomposition/tests/test_kernel_pca.py;sklearn/utils/extmath.py,sklearn/decomposition/kernel_pca.py;sklearn/decomposition/tests/test_kernel_pca.py,sklearn/decomposition/tests/test_kernel_pca.py,sklearn;sklearn/decomposition/kernel_pca.py;sklearn/decomposition/pca.py;sklearn/utils/extmath.py,,,,,,,,,,,,,,,unknown_gold_overlap,unknown
sphinx-doc__sphinx-8127,sphinx-doc/sphinx,sphinx-doc__sphinx-8282,sphinx-doc__sphinx-8127,,,,,,,,,,sphinx/ext/autodoc;sphinx/ext/autodoc/__init__.py;sphinx/ext/autodoc/typehints.py;test_fix/_build/index.txt;tests/roots/test-ext-autodoc/target/overload.py,sphinx/ext/autodoc/__init__.py;test_fix/conf.py;test_fix/example.py;test_fix/index.rst,test_fix/_build/index.txt;test_fix/conf.py;test_fix/example.py;test_fix/index.rst,sphinx/ext/autodoc;sphinx/ext/autodoc/__init__.py;sphinx/ext/autodoc/typehints.py;tests/roots/test-ext-autodoc/target/overload.py,,,,,,,,,,,,,,,unknown_gold_overlap,unknown
sphinx-doc__sphinx-8588,sphinx-doc/sphinx,sphinx-doc__sphinx-8627,sphinx-doc__sphinx-8588,,,,,,,,,,sphinx/ext/autodoc/typehints.py;sphinx/transforms/post_transforms/__init__.py;sphinx/util/inspect.py;sphinx/util/typing.py,sphinx/util/typing.py,,sphinx/ext/autodoc/typehints.py;sphinx/transforms/post_transforms/__init__.py;sphinx/util/inspect.py;sphinx/util/typing.py,,,,,,,,,,,,,,,unknown_gold_overlap,unknown
sympy__sympy-11275,sympy/sympy,sympy__sympy-11897,sympy__sympy-11275,,,,,,,,,,sympy/printing/latex.py;sympy/printing/pretty/pretty.py;sympy/printing/tests/test_latex.py,sympy/printing/latex.py;sympy/printing/tests/test_latex.py,sympy/printing/tests/test_latex.py,sympy/printing/latex.py;sympy/printing/pretty/pretty.py,,,,,,,,,,,,,,,unknown_gold_overlap,unknown
sympy__sympy-11286,sympy/sympy,sympy__sympy-11400,sympy__sympy-11286,,,,,,,,,,sympy/functions/elementary/trigonometric.py;sympy/printing/ccode.py;sympy/printing/tests/test_ccode.py,sympy/printing/ccode.py;sympy/printing/tests/test_ccode.py,sympy/printing/tests/test_ccode.py,sympy/functions/elementary/trigonometric.py;sympy/printing/ccode.py,,,,,,,,,,,,,,,unknown_gold_overlap,unknown
sympy__sympy-12426,sympy/sympy,sympy__sympy-12419,sympy__sympy-12426,,,,,,,,,,sympy/concrete/summations.py;sympy/matrices/expressions;sympy/matrices/expressions/matexpr.py,sympy/concrete/summations.py;sympy/matrices/expressions/matexpr.py;test_concrete.py;test_doit_multiple.py;test_kronecker.py;test_simplification.py,test_concrete.py;test_doit_multiple.py;test_kronecker.py;test_simplification.py,sympy/concrete/summations.py;sympy/matrices/expressions;sympy/matrices/expressions/matexpr.py,,,,,,,,,,,,,,,unknown_gold_overlap,unknown
sympy__sympy-12427,sympy/sympy,sympy__sympy-12419,sympy__sympy-12427,,,,,,,,,,sympy/concrete/summations.py;sympy/matrices/expressions;sympy/matrices/expressions/matexpr.py,sympy/concrete/summations.py;sympy/matrices/expressions/matexpr.py;test_concrete.py;test_doit_multiple.py;test_kronecker.py;test_simplification.py,test_concrete.py;test_doit_multiple.py;test_kronecker.py;test_simplification.py,sympy/concrete/summations.py;sympy/matrices/expressions;sympy/matrices/expressions/matexpr.py,,,,,,,,,,,,,,,unknown_gold_overlap,unknown
sympy__sympy-12950,sympy/sympy,sympy__sympy-13031,sympy__sympy-12950,,,,,,,,,,sympy/matrices;sympy/matrices/common.py;sympy/matrices/sparse.py;sympy/matrices/tests/test_sparse.py;sympy/release.py;testbed,sympy/matrices/sparse.py;sympy/matrices/tests/test_sparse.py,sympy/matrices/tests/test_sparse.py,sympy/matrices;sympy/matrices/common.py;sympy/matrices/sparse.py;sympy/release.py;testbed,,,,,,,,,,,,,,,unknown_gold_overlap,unknown
sympy__sympy-13039,sympy/sympy,sympy__sympy-14308,sympy__sympy-13039,,,,,,,,,,sympy/printing/pretty/pretty.py;sympy/vector;sympy/vector/basisdependent.py;sympy/vector/tests/test_printing.py,sympy/printing/pretty/pretty.py;~/desktop/swebench_9_15/analyze_bug.py;~/desktop/swebench_9_15/final_demo.py;~/desktop/swebench_9_15/test_comprehensive.py,sympy/vector/tests/test_printing.py;~/desktop/swebench_9_15/test_comprehensive.py,sympy/printing/pretty/pretty.py;sympy/vector;sympy/vector/basisdependent.py;~/desktop/swebench_9_15/analyze_bug.py;~/desktop/swebench_9_15/final_demo.py,,,,,,,,,,,,,,,unknown_gold_overlap,unknown
sympy__sympy-15059,sympy/sympy,sympy__sympy-15609,sympy__sympy-15059,,,,,,,,,,sympy/printing;sympy/printing/latex.py;sympy/printing/tests/test_latex.py,sympy/printing/latex.py,sympy/printing/tests/test_latex.py,sympy/printing;sympy/printing/latex.py,,,,,,,,,,,,,,,unknown_gold_overlap,unknown
sympy__sympy-16342,sympy/sympy,sympy__sympy-16988,sympy__sympy-16342,,,,,,,,,,sympy;sympy/core/operations.py;sympy/sets/fancysets.py;sympy/sets/sets.py;sympy/sets/tests/test_sets.py;sympy/solvers/solveset.py,sympy/sets/sets.py,sympy/sets/tests/test_sets.py,sympy;sympy/core/operations.py;sympy/sets/fancysets.py;sympy/sets/sets.py;sympy/solvers/solveset.py,,,,,,,,,,,,,,,unknown_gold_overlap,unknown
sympy__sympy-16689,sympy/sympy,sympy__sympy-16792,sympy__sympy-16689,,,,,,,,,,sympy/utilities/autowrap.py;sympy/utilities/codegen.py,sympy/utilities/codegen.py,,sympy/utilities/autowrap.py;sympy/utilities/codegen.py,,,,,,,,,,,,,,,unknown_gold_overlap,unknown
sympy__sympy-16946,sympy/sympy,sympy__sympy-16988,sympy__sympy-16946,,,,,,,,,,sympy;sympy/core/operations.py;sympy/sets/fancysets.py;sympy/sets/sets.py;sympy/sets/tests/test_sets.py;sympy/solvers/solveset.py,sympy/sets/sets.py,sympy/sets/tests/test_sets.py,sympy;sympy/core/operations.py;sympy/sets/fancysets.py;sympy/sets/sets.py;sympy/solvers/solveset.py,,,,,,,,,,,,,,,unknown_gold_overlap,unknown
sympy__sympy-16953,sympy/sympy,sympy__sympy-16988,sympy__sympy-16953,,,,,,,,,,sympy;sympy/core/operations.py;sympy/sets/fancysets.py;sympy/sets/sets.py;sympy/sets/tests/test_sets.py;sympy/solvers/solveset.py,sympy/sets/sets.py,sympy/sets/tests/test_sets.py,sympy;sympy/core/operations.py;sympy/sets/fancysets.py;sympy/sets/sets.py;sympy/solvers/solveset.py,,,,,,,,,,,,,,,unknown_gold_overlap,unknown
sympy__sympy-17377,sympy/sympy,sympy__sympy-18199,sympy__sympy-17377,,,,,,,,,,sympy/ntheory/residue_ntheory.py;sympy/ntheory/tests/test_residue.py,sympy/ntheory/residue_ntheory.py,sympy/ntheory/tests/test_residue.py,sympy/ntheory/residue_ntheory.py,,,,,,,,,,,,,,,unknown_gold_overlap,unknown
sympy__sympy-18212,sympy/sympy,sympy__sympy-18199,sympy__sympy-18212,,,,,,,,,,sympy/ntheory/residue_ntheory.py;sympy/ntheory/tests/test_residue.py,sympy/ntheory/residue_ntheory.py,sympy/ntheory/tests/test_residue.py,sympy/ntheory/residue_ntheory.py,,,,,,,,,,,,,,,unknown_gold_overlap,unknown
sympy__sympy-18715,sympy/sympy,sympy__sympy-23117,sympy__sympy-18715,,,,,,,,,,sympy/tensor/array/ndim_array.py,sympy/tensor/array/ndim_array.py,,sympy/tensor/array/ndim_array.py,,,,,,,,,,,,,,,unknown_gold_overlap,unknown
sympy__sympy-19006,sympy/sympy,sympy__sympy-18057,sympy__sympy-19006,,,,,,,,,,sympy/core/expr.py;sympy/core/sympify.py,sympy/core/expr.py,,sympy/core/expr.py;sympy/core/sympify.py,,,,,,,,,,,,,,,unknown_gold_overlap,unknown
sympy__sympy-19235,sympy/sympy,sympy__sympy-14774,sympy__sympy-19235,,,,,,,,,,sympy/printing/latex.py,sympy/printing/latex.py;test_fix.py;test_simple.py,test_fix.py;test_simple.py,sympy/printing/latex.py,,,,,,,,,,,,,,,unknown_gold_overlap,unknown
sympy__sympy-19484,sympy/sympy,sympy__sympy-19487,sympy__sympy-19484,,,,,,,,,,sympy/functions/elementary/complexes.py;sympy/functions/elementary/tests/test_complexes.py,sympy/functions/elementary/complexes.py;sympy/functions/elementary/tests/test_complexes.py,sympy/functions/elementary/tests/test_complexes.py,sympy/functions/elementary/complexes.py,,,,,,,,,,,,,,,unknown_gold_overlap,unknown
sympy__sympy-19558,sympy/sympy,sympy__sympy-19487,sympy__sympy-19558,,,,,,,,,,sympy/functions/elementary/complexes.py;sympy/functions/elementary/tests/test_complexes.py,sympy/functions/elementary/complexes.py;sympy/functions/elementary/tests/test_complexes.py,sympy/functions/elementary/tests/test_complexes.py,sympy/functions/elementary/complexes.py,,,,,,,,,,,,,,,unknown_gold_overlap,unknown
sympy__sympy-21203,sympy/sympy,sympy__sympy-21055,sympy__sympy-21203,,,,,,,,,,sympy/assumptions/refine.py;sympy/assumptions/tests/test_refine.py;sympy/functions/elementary/complexes.py,sympy/assumptions/refine.py;sympy/assumptions/tests/test_refine.py,sympy/assumptions/tests/test_refine.py,sympy/assumptions/refine.py;sympy/functions/elementary/complexes.py,,,,,,,,,,,,,,,unknown_gold_overlap,unknown
sympy__sympy-21309,sympy/sympy,sympy__sympy-21055,sympy__sympy-21309,,,,,,,,,,sympy/assumptions/refine.py;sympy/assumptions/tests/test_refine.py;sympy/functions/elementary/complexes.py,sympy/assumptions/refine.py;sympy/assumptions/tests/test_refine.py,sympy/assumptions/tests/test_refine.py,sympy/assumptions/refine.py;sympy/functions/elementary/complexes.py,,,,,,,,,,,,,,,unknown_gold_overlap,unknown
sympy__sympy-23852,sympy/sympy,sympy__sympy-23117,sympy__sympy-23852,,,,,,,,,,sympy/tensor/array/ndim_array.py,sympy/tensor/array/ndim_array.py,,sympy/tensor/array/ndim_array.py,,,,,,,,,,,,,,,unknown_gold_overlap,unknown
sympy__sympy-26642,sympy/sympy,sympy__sympy-24102,sympy__sympy-26642,,,,,,,,,,sympy/parsing/mathematica.py;sympy/parsing/tests/test_mathematica.py,sympy/parsing/mathematica.py;sympy/parsing/tests/test_mathematica.py;~/desktop/swebench_9_15/test_comprehensive.py,sympy/parsing/tests/test_mathematica.py;~/desktop/swebench_9_15/test_comprehensive.py,sympy/parsing/mathematica.py,,,,,,,,,,,,,,,unknown_gold_overlap,unknown
sympy__sympy-27868,sympy/sympy,sympy__sympy-24102,sympy__sympy-27868,,,,,,,,,,sympy/parsing/mathematica.py;sympy/parsing/tests/test_mathematica.py,sympy/parsing/mathematica.py;sympy/parsing/tests/test_mathematica.py;~/desktop/swebench_9_15/test_comprehensive.py,sympy/parsing/tests/test_mathematica.py;~/desktop/swebench_9_15/test_comprehensive.py,sympy/parsing/mathematica.py,,,,,,,,,,,,,,,unknown_gold_overlap,unknown
sympy__sympy-8772,sympy/sympy,sympy__sympy-13437,sympy__sympy-8772,,,,,,,,,,sympy;sympy/functions/combinatorial/numbers.py;sympy/functions/combinatorial/tests/test_comb_numbers.py,sympy/functions/combinatorial/numbers.py;sympy/functions/combinatorial/tests/test_comb_numbers.py,sympy/functions/combinatorial/tests/test_comb_numbers.py,sympy;sympy/functions/combinatorial/numbers.py,,,,,,,,,,,,,,,unknown_gold_overlap,unknown
sympy__sympy-9123,sympy/sympy,sympy__sympy-12236,sympy__sympy-9123,,,,,,,,,,sympy/core/expr.py;sympy/polys/partfrac.py,sympy/polys/partfrac.py,,sympy/core/expr.py;sympy/polys/partfrac.py,,,,,,,,,,,,,,,unknown_gold_overlap,unknown
sympy__sympy-9384,sympy/sympy,sympy__sympy-21055,sympy__sympy-9384,,,,,,,,,,sympy/assumptions/refine.py;sympy/assumptions/tests/test_refine.py;sympy/functions/elementary/complexes.py,sympy/assumptions/refine.py;sympy/assumptions/tests/test_refine.py,sympy/assumptions/tests/test_refine.py,sympy/assumptions/refine.py;sympy/functions/elementary/complexes.py,,,,,,,,,,,,,,,unknown_gold_overlap,unknown
